cc,desciel,dh,dirvienc,dirvieng,dloc,ides,idmun,lat,lon,ndia,nes,nmun,prec,probprec,raf,tmax,tmin,velvien,day
95.5,Cielo cubierto,6,Noreste,57.34,20220528T00,20,54,17.3884,-97.229,0,Oaxaca,Magdalena Zahuatlán,0.37,95.0,24.54,22.81,9.4,10.47,2022-05-28
95.77,Cielo cubierto,6,Noreste,61.47,20220529T00,20,54,17.3884,-97.229,1,Oaxaca,Magdalena Zahuatlán,4.36,95.0,16.63,24.59,11.77,8.1,2022-05-29
95.83,Cielo cubierto,6,Este,73.27,20220530T00,20,54,17.3884,-97.229,2,Oaxaca,Magdalena Zahuatlán,9.34,95.0,27.96,19.16,11.95,8.81,2022-05-30
91.57,Cielo cubierto,6,Noreste,35.45,20220531T00,20,54,17.3884,-97.229,3,Oaxaca,Magdalena Zahuatlán,1.65,95.0,12.32,18.42,12.01,5.71,2022-05-31
95.61,Cielo cubierto,6,Noreste,39.79,20220528T00,20,61,16.3672,-96.6368,0,Oaxaca,Monjas,1.38,95.0,23.04,24.4,14.67,9.93,2022-05-28
95.83,Cielo cubierto,6,Noreste,61.23,20220529T00,20,61,16.3672,-96.6368,1,Oaxaca,Monjas,19.66,95.0,11.47,22.03,14.22,5.88,2022-05-29
95.83,Cielo cubierto,6,Sur,165.2,20220530T00,20,61,16.3672,-96.6368,2,Oaxaca,Monjas,124.51,95.0,58.72,18.76,14.06,11.19,2022-05-30
91.67,Cielo cubierto,6,Sur,192.24,20220531T00,20,61,16.3672,-96.6368,3,Oaxaca,Monjas,12.03,95.0,7.02,21.76,14.86,2.94,2022-05-31
95.83,Cielo cubierto,6,Este,98.47,20220528T00,20,62,17.2969,-96.4333,0,Oaxaca,Natividad,4.57,95.0,12.55,16.49,11.47,5.43,2022-05-28
95.83,Cielo cubierto,6,Este,80.8,20220529T00,20,62,17.2969,-96.4333,1,Oaxaca,Natividad,6.53,95.0,8.16,19.35,12.51,4.18,2022-05-29
95.83,Cielo cubierto,6,Este,73.7,20220530T00,20,62,17.2969,-96.4333,2,Oaxaca,Natividad,47.96,95.0,20.77,15.01,12.05,6.97,2022-05-30
91.67,Cielo cubierto,6,Sureste,147.7,20220531T00,20,62,17.2969,-96.4333,3,Oaxaca,Natividad,7.96,95.0,8.97,16.39,12.01,3.91,2022-05-31
95.72,Cielo cubierto,6,Noreste,58.72,20220528T00,20,63,17.178,-96.824,0,Oaxaca,Nazareno Etla,0.66,80.0,13.49,19.92,12.2,5.95,2022-05-28
95.74,Cielo cubierto,6,Este,88.36,20220529T00,20,63,17.178,-96.824,1,Oaxaca,Nazareno Etla,9.04,95.0,10.54,24.27,13.2,5.03,2022-05-29
95.83,Cielo cubierto,6,Sur,164.21,20220530T00,20,63,17.178,-96.824,2,Oaxaca,Nazareno Etla,26.84,95.0,25.87,17.99,12.97,7.92,2022-05-30
91.46,Cielo cubierto,6,Suroeste,230.13,20220531T00,20,63,17.178,-96.824,3,Oaxaca,Nazareno Etla,3.28,95.0,10.9,18.65,12.09,5.33,2022-05-31
95.72,Cielo cubierto,6,Noreste,58.72,20220528T00,20,77,17.2056,-96.8101,0,Oaxaca,Reyes Etla,0.66,80.0,13.49,19.92,12.2,5.95,2022-05-28
95.74,Cielo cubierto,6,Este,88.36,20220529T00,20,77,17.2056,-96.8101,1,Oaxaca,Reyes Etla,9.04,95.0,10.54,24.27,13.2,5.03,2022-05-29
95.83,Cielo cubierto,6,Sur,164.21,20220530T00,20,77,17.2056,-96.8101,2,Oaxaca,Reyes Etla,26.84,95.0,25.87,17.99,12.97,7.92,2022-05-30
91.46,Cielo cubierto,6,Suroeste,230.13,20220531T00,20,77,17.2056,-96.8101,3,Oaxaca,Reyes Etla,3.28,95.0,10.9,18.65,12.09,5.33,2022-05-31
95.76,Cielo cubierto,6,Este,68.39,20220528T00,20,87,17.0812,-96.6681,0,Oaxaca,San Agustín Yatareni,1.06,80.0,13.17,20.5,13.3,5.99,2022-05-28
95.82,Cielo cubierto,6,Este,102.22,20220529T00,20,87,17.0812,-96.6681,1,Oaxaca,San Agustín Yatareni,6.67,95.0,15.01,23.17,13.74,7.07,2022-05-29
95.83,Cielo cubierto,6,Sur,158.46,20220530T00,20,87,17.0812,-96.6681,2,Oaxaca,San Agustín Yatareni,35.27,95.0,27.63,17.9,13.34,8.32,2022-05-30
91.63,Cielo cubierto,6,Sur,192.33,20220531T00,20,87,17.0812,-96.6681,3,Oaxaca,San Agustín Yatareni,5.15,95.0,8.08,18.29,12.82,4.06,2022-05-31
95.76,Cielo cubierto,6,Este,68.39,20220528T00,20,91,17.1025,-96.6662,0,Oaxaca,San Andrés Huayápam,1.06,80.0,13.17,20.5,13.3,5.99,2022-05-28
95.82,Cielo cubierto,6,Este,102.22,20220529T00,20,91,17.1025,-96.6662,1,Oaxaca,San Andrés Huayápam,6.67,95.0,15.01,23.17,13.74,7.07,2022-05-29
